Name	Population	Lat	Long
Berlin	3478167	52.5	13.3
Hamburg	1798214	53.5	10
München	1375268	48.1	11.5
Köln	1015790	50.9	6.97
Frankfurt	687107	50.1	8.68
Stuttgart	611342	48.7	9.19
Düsseldorf	591122	51.2	6.79
Dortmund	579562	51.5	7.48
Essen	572962	51.4	7
Bremen	546952	53	8.81
Dresden	528939	51	13.7
Leipzig	526770	51.3	12.4
Hannover	524355	52.4	9.73
Nürnberg	507568	49.4	11
Duisburg	487212	51.4	6.75
Bochum	373186	51.4	7.2
Wuppertal	348405	51.2	7.18
Bonn	329833	50.7	7.1
Bielefeld	323447	52	8.53
Mannheim	314316	49.5	8.47
Karlsruhe	297504	49	8.4
Münster	283942	51.9	7.62
Wiesbaden	274552	50	8.23
Augsburg	265731	48.3	10.8
Aachen	258975	50.7	6.09
Mönchengladbach	257738	51.2	6.42
Gelsenkirchen	256246	51.5	7.11
Braunschweig	250227	52.2	10.5
Chemnitz	243351	50.8	12.9
Kiel	240692	54.3	10.1
Krefeld	234738	51.3	6.55
Halle	233553	51.4	11.9
Magdeburg	232542	52.1	11.6
Freiburg	226426	47.9	7.85
Oberhausen	211893	51.4	6.86
Lübeck	210604	53.8	10.6
Erfurt	206112	50.9	11
Rostock	203985	54	12.1
Mainz	200717	50	8.26
Kassel	196285	51.3	9.48
Hagen	186978	51.3	7.46
Hamm	181824	51.6	7.8
Saarbrücken	175647	49.2	6.97
Mülheim	167192	51.4	6.86
Ludwigshafen	165308	49.4	8.44
Osnabrück	164736	52.2	8.05
Herne	163909	51.5	7.21
Oldenburg	162993	53.1	8.21
Leverkusen	160937	51	6.99
Potsdam	159182	52.4	13
Solingen	158908	51.1	7.06
Neuss	151503	51.2	6.69
Heidelberg	148138	49.4	8.69
Paderborn	147265	51.7	8.74
Darmstadt	145425	49.8	8.64
Regensburg	136784	49	12.1
Würzburg	134379	49.8	9.94
Ingolstadt	125800	48.7	11.4
Ulm	123505	48.4	9.97
Heilbronn	123339	49.1	9.22
Offenbach	122038	50.1	8.77
Wolfsburg	121754	52.4	10.7
Göttingen	120689	51.5	9.92
Pforzheim	119785	48.8	8.69
Recklinghausen	117708	51.6	7.19
Bottrop	116319	51.5	6.93
Fürth	115205	49.4	10.9
Reutlingen	112841	48.4	9.21
Bremerhaven	112700	53.5	8.58
Remscheid	109728	51.1	7.19
Koblenz	106374	50.3	7.6
Trier	105910	49.7	6.63
Jena	105786	50.9	11.5
BergischGladbach	105751	50.9	7.15
Erlangen	105699	49.6	11
Moers	105109	51.4	6.65
Siegen	102884	50.8	8.01
Hildesheim	102682	52.1	9.95
Cottbus	102488	51.7	14.3
Salzgitter	101373	52.1	10.3
Kaiserslautern	99088	49.4	7.75
Gera	98531	50.8	12
Witten	97870	51.4	7.34
Gütersloh	96509	51.9	8.37
Schwerin	95379	53.6	11.4
Iserlohn	94711	51.3	7.68
Zwickau	93141	50.7	12.5
Düren	92751	50.8	6.49
Esslingen	92258	48.7	9.32
Ratingen	90882	51.3	6.85
Flensburg	88998	54.7	9.42
Tübingen	88932	48.5	9.06
Hanau	88908	50.1	8.91
Ludwigsburg	88013	48.9	9.19
Lünen	87290	51.6	7.52
Marl	86941	51.6	7.12
Dessau-Roßlau	86048	51.8	12.2
Konstanz	85727	47.6	9.17
Velbert	83458	51.3	7.04
Minden	81851	52.2	8.9
